parameter,step,mean,std,maximum,minimum,abs_mean,abs_std,abs_maximum,abs_minimum
gpt_neox.layers.1.attention.query_key_value.weight,143000,3.143599e-05,0.035431784,0.2668457,-0.2763672,0.026814274,0.02316044,0.2763672,0.0
gpt_neox.layers.1.attention.query_key_value.bias,142000,0.04187325,3.4204955,24.1875,-31.21875,1.3672153,3.1354504,31.21875,7.903576e-05
gpt_neox.layers.1.attention.query_key_value.bias,143000,0.041882735,3.422486,24.203125,-31.25,1.3679891,3.1372843,31.25,0.00011920929
gpt_neox.layers.1.attention.dense.weight,142000,-2.4808269e-06,0.022898499,0.23083496,-0.17236328,0.018113323,0.014008838,0.23083496,5.9604645e-08
gpt_neox.layers.1.attention.dense.weight,143000,-2.445593e-06,0.022810046,0.22961426,-0.17285156,0.018043634,0.013954367,0.22961426,3.5762787e-07
gpt_neox.layers.1.attention.dense.bias,142000,0.0008172112,0.060049795,1.0166016,-0.43701172,0.022667252,0.05560429,1.0166016,7.0929527e-06
gpt_neox.layers.1.attention.dense.bias,143000,0.0008198994,0.05994032,1.0146484,-0.43652344,0.02263337,0.05549994,1.0146484,0.00012028217
gpt_neox.layers.1.mlp.dense_h_to_4h.weight,142000,-0.00023475583,0.03192735,0.55029297,-0.45898438,0.024895139,0.01999106,0.55029297,5.9604645e-08
gpt_neox.layers.1.mlp.dense_h_to_4h.weight,143000,-0.00023576099,0.031814,0.5493164,-0.45654297,0.024807844,0.019918747,0.5493164,5.9604645e-08
gpt_neox.layers.1.mlp.dense_h_to_4h.bias,142000,-0.15707082,0.09913778,0.10870361,-0.96972656,0.15777515,0.09801242,0.96972656,7.110834e-05
gpt_neox.layers.1.mlp.dense_h_to_4h.bias,143000,-0.15718745,0.099239424,0.109375,-0.9707031,0.15789802,0.098104365,0.9707031,0.00034618378
gpt_neox.layers.1.mlp.dense_4h_to_h.weight,142000,6.5972267e-06,0.020753302,1.1855469,-0.43139648,0.016024247,0.013187981,1.1855469,0.0
gpt_neox.layers.1.mlp.dense_4h_to_h.weight,143000,5.798006e-06,0.020675037,1.1787109,-0.42895508,0.015963182,0.013139018,1.1787109,5.9604645e-08
gpt_neox.layers.1.mlp.dense_4h_to_h.bias,142000,0.0008172112,0.060049795,1.0166016,-0.43701172,0.022667252,0.05560429,1.0166016,7.0929527e-06
gpt_neox.layers.1.mlp.dense_4h_to_h.bias,143000,0.0008198994,0.05994032,1.0146484,-0.43652344,0.02263337,0.05549994,1.0146484,0.00012028217
gpt_neox.layers.2.input_layernorm.weight,142000,1.0878029,0.10403736,2.3476562,0.8623047,1.0878029,0.10403736,2.3476562,0.8623047
gpt_neox.layers.2.input_layernorm.weight,143000,1.0893669,0.10404163,2.3496094,0.8642578,1.0893669,0.10404163,2.3496094,0.8642578
gpt_neox.layers.2.input_layernorm.bias,142000,0.029346699,0.120732255,1.1005859,-0.6386719,0.08136458,0.09384051,1.1005859,0.00018548965
gpt_neox.layers.2.input_layernorm.bias,143000,0.029433766,0.12099955,1.1035156,-0.640625,0.0815575,0.0940441,1.1035156,0.00033640862
gpt_neox.layers.2.post_attention_layernorm.weight,142000,1.0874596,0.11629635,2.28125,0.8730469,1.0874596,0.11629635,2.28125,0.8730469
