parameter,step,mean,std,maximum,minimum,abs_mean,abs_std,abs_maximum,abs_minimum
gpt_neox.layers.1.attention.query_key_value.weight,143000,-7.92384e-05,0.035324357,0.3203125,-0.28149414,0.0267922,0.02302159,0.3203125,0.0
gpt_neox.layers.1.attention.query_key_value.bias,142000,-0.067320496,3.5194013,22.96875,-29.796875,1.4008995,3.2290745,29.796875,6.991625e-05
gpt_neox.layers.1.attention.query_key_value.bias,143000,-0.067344315,3.5200915,22.984375,-29.8125,1.401267,3.229668,29.8125,1.8715858e-05
gpt_neox.layers.1.attention.dense.weight,142000,-1.1120164e-06,0.024101539,0.1895752,-0.21740723,0.019075267,0.014731496,0.21740723,1.7881393e-07
gpt_neox.layers.1.attention.dense.weight,143000,-2.8339582e-06,0.02400206,0.18664551,-0.21679688,0.018996399,0.014670866,0.21679688,5.9604645e-08
gpt_neox.layers.1.attention.dense.bias,142000,-0.00064809015,0.058835328,0.9433594,-0.30932617,0.023625975,0.05387706,0.9433594,8.34465e-07
gpt_neox.layers.1.attention.dense.bias,143000,-0.00065183046,0.058693893,0.94091797,-0.3083496,0.02359511,0.053736206,0.94091797,7.4505806e-06
gpt_neox.layers.1.mlp.dense_h_to_4h.weight,142000,0.00069509994,0.031745967,0.4736328,-0.44482422,0.02499738,0.019581113,0.4736328,0.0
gpt_neox.layers.1.mlp.dense_h_to_4h.weight,143000,0.00069013203,0.031631365,0.47021484,-0.44702148,0.024907548,0.019509818,0.47021484,5.9604645e-08
gpt_neox.layers.1.mlp.dense_h_to_4h.bias,142000,-0.16273668,0.116329424,0.4711914,-1.7070312,0.16520935,0.11278843,1.7070312,0.000228405
gpt_neox.layers.1.mlp.dense_h_to_4h.bias,143000,-0.16287127,0.11640191,0.47265625,-1.7080078,0.1653455,0.11285799,1.7080078,0.00039482117
gpt_neox.layers.1.mlp.dense_4h_to_h.weight,142000,-6.0579387e-06,0.02169275,1.0703125,-0.28588867,0.016958259,0.013527474,1.0703125,0.0
gpt_neox.layers.1.mlp.dense_4h_to_h.weight,143000,-6.312338e-06,0.021616187,1.0664062,-0.28710938,0.016900454,0.013477164,1.0664062,0.0
gpt_neox.layers.1.mlp.dense_4h_to_h.bias,142000,-0.00064809015,0.058835328,0.9433594,-0.30932617,0.023625975,0.05387706,0.9433594,8.34465e-07
gpt_neox.layers.1.mlp.dense_4h_to_h.bias,143000,-0.00065183046,0.058693893,0.94091797,-0.3083496,0.02359511,0.053736206,0.94091797,7.4505806e-06
gpt_neox.layers.2.input_layernorm.weight,142000,1.0955658,0.09226327,1.7763672,0.87158203,1.0955658,0.09226327,1.7763672,0.87158203
gpt_neox.layers.2.input_layernorm.weight,143000,1.0973005,0.092130795,1.7763672,0.8725586,1.0973005,0.092130795,1.7763672,0.8725586
gpt_neox.layers.2.input_layernorm.bias,142000,0.023870049,0.11843083,0.81103516,-0.5048828,0.091436185,0.07886582,0.81103516,0.00035572052
gpt_neox.layers.2.input_layernorm.bias,143000,0.02398258,0.11867929,0.8129883,-0.50683594,0.09164913,0.07902572,0.8129883,0.00012624264
gpt_neox.layers.2.post_attention_layernorm.weight,142000,1.0767288,0.13303751,2.7226562,0.8432617,1.0767288,0.13303751,2.7226562,0.8432617
gpt_neox.layers.2.post_attention_layernorm.weight,143000,1.0778809,0.13312897,2.7246094,0.8442383,1.0778809,0.13312897,2.7246094,0.8442383
